Stall_ID,State,GI_Product,Is_Registered_GI,Monthly_Income_Bracket,Has_Govt_ID,Ecommerce_Active,Govt_Interaction_Rating,Fair_Beneficial,Wants_More_Events,Year,Income_Numeric,Govt_Interaction_Score,State_Region,Years_Registered,Digital_Adoption_Index,Performance_Category,Vendor_Age,Still_Active,Years_Active,Churned,Monthly_Income_Bracket_Encoded,Govt_Interaction_Rating_Encoded,State_Bihar,State_Himachal Pradesh,State_Jharkhand,State_Karnataka,State_Nagaland,State_Other,State_Punjab,State_Rajasthan,State_Tamil Nadu,State_Telangana,State_Uttar Pradesh,State_West Bengal,GI_Product_Banaras Zardozi,GI_Product_Chikan Craft,GI_Product_Dokra,GI_Product_Madhubani Paintings,GI_Product_Others,GI_Product_Sanganer Block Print,State_Region_East,State_Region_North,State_Region_Other,State_Region_South,State_Region_West,Years_Since_Start,Is_Recent_Year,COVID_Period,Post_Digital_Era
1,Bihar,Others,1,<50K,0,0,Good,1,1,2015,25000.0,3,East,1,0.1035439469364896,1,0,True,11,0,0.0,2,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,0,0,0,0
1,Bihar,Others,1,<50K,0,0,Good,1,1,2016,25000.0,3,East,4,-0.0103162753062364,1,1,True,11,0,0.0,2,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,1,0,0,0
1,Bihar,Others,1,<50K,0,0,Good,1,1,2017,25000.0,3,East,5,-0.0286755780512508,1,2,True,11,0,0.0,2,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,2,0,0,0
1,Bihar,Others,1,<50K,0,0,Good,1,1,2018,25000.0,3,East,3,-0.1761113057435852,1,3,True,11,0,0.0,2,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,3,0,0,0
1,Bihar,Others,1,<50K,0,0,Good,1,1,2019,25000.0,3,East,0,0.0635286995988613,1,4,True,11,0,0.0,2,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,4,0,0,0
1,Bihar,Others,1,<50K,0,0,Good,1,1,2020,25000.0,3,East,6,-0.0504169275038852,1,5,True,11,0,0.0,2,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,5,1,1,0
1,Bihar,Others,1,<50K,0,1,Good,1,1,2021,25000.0,3,East,3,0.6281664257236813,1,6,True,11,0,0.0,2,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,6,1,1,1
1,Bihar,Others,1,<50K,0,0,Good,1,1,2022,25000.0,3,East,0,-0.1054790373735843,1,7,True,11,0,0.0,2,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,7,1,0,1
1,Bihar,Others,1,<50K,0,0,Good,1,1,2023,25000.0,3,East,3,0.1277449082946496,1,8,True,11,0,0.0,2,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,8,1,0,1
1,Bihar,Others,1,<50K,0,0,Good,1,1,2024,25000.0,3,East,3,0.0988139658974792,1,9,True,11,0,0.0,2,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,9,1,0,1
